id;year_published;ISBN;SISO;AVI;category_youth;EAN_wrong;ISSN_wrong;ZIZO;literarytype;SISO_libraries;title;type;category_music;language;keywords_youth;ISSN;author_type;series_title;publisher;age;keywords_local;category_adults;pages;keyword_adults;series_edition;ISBN_wrong;keywords_libraries;author_lastname;EAN;author_firstname;keyword_youth
2^1000311;2009;9789045309484;110;;;;;FIFIFI;non-fictie;;Filosofie voor in bed, op het toilet of in bad;Boek;;Nederlands;;;auteur;;BZZTÙH;;;;160 p.;;;;;Bergman;;Gregory;
2^1000312;cop. 2009;9789038918983;Nederland 993;;;;;LANEWF;non-fictie;;Fietsen en wandelen langs oude spoorwegen in Nederland;Boek;;Nederlands;;;auteur;;Elmar;;;;108 p.;;3de herz. dr.;;;Artz;;Alexander;
2^1000313;cop. 2008;9789056626556;718.5;;;;;;non-fictie;;Een traditie van verandering;Boek;;Nederlands;;;redacteur;;NAi;;;;252 p.;;;;;Verstegen;;Ton;
2^1000314;cop. 2006;;;;;;;;fictie;;Blackadder 1;DVD-Video;;Engels;;;regisseur;;Warner Home Video;;;Humoristische films;;;;;;Shardlow;7321931933049;Martin;
2^1000315;cop. 2006;;;;;;;;fictie;;Blackadder 3;DVD-Video;;Engels;;;regisseur;;Warner Home Video;;;Humoristische films;;;;;;Fletcher;7321931933063;Mandie;
2^1000316;cop. 2009;9781933751122;Verenigde Staten 707.8;;;;;;non-fictie;;Dan Graham;Boek;;Engels;;;samensteller;;MIT;;;;347 p.;;;;;Simpson;;Bennett;
2^1000317;2008;9789053306376;574;;;;;WTBIEV;non-fictie;;Over het ontstaan van soorten van Darwin;Boek;;Nederlands;;;auteur;;Mets en Schilt;;;;155 p.;;;;;Browne;;Janet;
2^1000318;2008;9789073288522;Turks 831;;;;;TATUWO;non-fictie;;T¸rkÁe-Hollandaca;Boek;;Turks;;;samensteller;;Etnicom;;;;960 p.;;;;;Kiris;;Mehmet;
2^1000319;cop. 2008;9789077194065;214.4;;;;;;non-fictie;;Non-dualiteit;Boek;;Nederlands;;;auteur;;Advaita Centrum;;;;206 p.;;;;;Tiemersma;;Douwe;
2^1000320;2009;;451.2;;;;;ONONON;non-fictie;;GO!;Boek;;Nederlands;;;medewerker;;GO! Onderwijs van de Vlaamse Gemeenschap;;;;91 p.;;;;;Blight;;Tom;
2^1000321;cop. 2007;;;;;;;;fictie;;Elizabeth;DVD-Video;;Engels;;;regisseur;;Universal;;;Biografische films;;Elizabeth I (koningin van Engeland);;;;Kapur;5050582502787;Shekhar;
2^1000322;2008;;;;;;;;;;The black book of capitalism;CD;;Onbekend;;;uitvoerder;;Type;;;;;;;;;Chauveau;182270000635;Sylvain;
2^1000323;2009;;;;;;;BDMAPE;non-fictie;367.2;Van verplichte antidiscriminatie tot vrijwillig diversiteitsplan;Boek;;Nederlands;;;auteur;;Kluwer;;;;82 p.;;;978-90-4652-999-8;Diversiteitsmanagement;Demeestere;;Stijn;
2^1000324;2009;;;;;;;;;;My maudlin career;CD;;Onbekend;;;;;4AD;;;;;;;;;;652637290721;;
2^1000325;cop. 2006;;;;;;;;fictie;;Blackadder 4;DVD-Video;;Engels;;;regisseur;;BBC Worldwide;;;Humoristische films;;;;;;Boden;7321931933070;Richard;
2^1000327;cop. 2008;;;;;5413660854619;;;fictie;;Midnight express;DVD-Video;;Engels;;;regisseur;;Sony Pictures Home Entertainment;;;Biografische films;;Gevangenissen ; Turkije;;;;Parker;8712609593624;Alan
2^1000328;2008;9789031358922;324;;;;;;non-fictie;;Groen en grijs;Boek;;Nederlands;;;auteur;;Bohn Stafleu Van Loghum;;;;103 p.;;;;;Van Kordelaar;;Karen;
2^1000329;2009;;;;;;;;;;Blood from a stone;CD;Singer-songwriters;Onbekend;;;uitvoerder;;Nettwerk;;;;;;;;;Hukkelberg;5037703084629;Hanne;
2^1000330;cop. 2000;;;;;;;;fictie;;Blackadder 2;DVD-Video;;Engels;;;regisseur;;BBC Worldwide;;;Humoristische films;;;;;;Fletcher;7321931933056;Mandie;
2^1000331;2009;9789025745356;Amerika 993;;;;;LAAMLA;non-fictie;;La ruta Maya;Boek;;Nederlands;;;auteur;;Gottmer/Becht;;;;310 p.;;4de herz. dr.;;;O;;Linda;
2^1000332;2008;;;;;;;;;;The vodoun effect 1972-1975;CD;Benin;Onbekend;;;;;Analog Afrika;;Wereldmuziek;;;;;;;;4260126060661;;
2^1000333;cop. 2006;;;;;;;;fictie;;Serpico;DVD-Video;;Engels;;;regisseur;;Sony Pictures Home Entertainment;;;Speelfilms;;;;;;Lumet;8712609040869;Sidney;
2^1000334;2008;978-90-7743-203-7;;;;;;;;366.41;Leidinggeven zonder bevelen;Boek;;Nederlands;;;auteur;;LannooCampus;;;;144 p.;;3de dr.;;Leidinggeven;Vandendriessche;;Filip;
2^1000335;2008;9789064506642;774.1;;;;;;non-fictie;;Stoelen;Boek;;Nederlands;;;auteur;;OIO;;;;270 p.;;;;;M·cel;;Otakar;
2^1000336;2008?;9783938433133;705.8;;;;;;non-fictie;;Loss of control;Boek;;Meertalig;;;redacteur;;MARTA;;;;319 p.;;;;;Krˆger;;Michael;
2^1000337;2009;;;;;;;;;;Elmwood;CD;BelgiÎ;Onbekend;;;;;ZooStudios;;;;;;;;;;5413356605921;;
2^1000338;2009;978-90-8584-983-4;;;;;;;;330.9;DebatstrategieÎn en -tactieken van politici in televisie(s)t(r)ijd;Boek;;Nederlands;;;auteur;;Vanden Broele;;;;VIII, 134 p.;;;;Verkiezingsdebatten;Coeck;;Lana;
2^1000339;cop. 2008;9780224079402;Verenigde Staten 737.9;;;;;;non-fictie;;Abstract America;Boek;;Engels;;;;;Cape;;;;390 p.;;;;;;;;
2^1000341;cop. 2009;9781426203329;950.6;;;;;;non-fictie;;Visual atlas of the world;Boek;;Engels;;;;;National Geographic Society;;;;416 p.;;;;;;;;
2^1000342;cop. 2008;9783775721271;761.2;;;;;;non-fictie;;Erwin Blumenfeld;Boek;;Engels;;;auteur;;Cantz;;;;223 p.;;;;;Adkins;;Helen;
2^1000343;2009;;;;;;;;;;Something ends here;CD;BelgiÎ;Onbekend;;;;;Top 5;;;;;;;;;;7640116811355;;
2^1000344;cop. 2009;9783775723510;Duitsland 737.8;;;;;;non-fictie;;Br¸cke;Boek;;Engels;;;redacteur;;Cantz;;;;231 p.;;;;;Stoll;;Diana;
